,정점코드,정점명,해안코드,해안,경도,위도,구분,통합코드
406,0231H1,완도항 H01,02,남해,126.7519444444,34.3219444444,일반,일반0231H1
407,0315H1,인천항 H01,03,서해,126.6177777778,37.4938888889,일반,일반0315H1
408,021809,섬진강하구9,02,남해,127.7711111111,34.9408333333,일반,일반021809
409,010202,속초2,01,동해,128.6116666667,38.2136111111,일반,일반010202
410,010203,속초3,01,동해,128.6136111111,38.2208333333,일반,일반010203
411,011310,영일만10,01,동해,129.48,36.0769444444,일반,일반011310
412,020102,울산2,02,남해,129.4077777778,35.445,일반,일반020102
413,020105,울산5,02,남해,129.3966666667,35.4927777778,일반,일반020105
414,020203,온산3,02,남해,129.4077777778,35.3675,일반,일반020203
415,020205,온산5,02,남해,129.3625,35.4455555556,일반,일반020205
416,020403,부산3,02,남해,129.1263888889,35.1461111111,일반,일반020403
417,020503,낙동3,02,남해,128.9083333333,35.0,일반,일반020503
418,020602,행암만2,02,남해,128.6805555556,35.1388888889,일반,일반020602
419,020604,행암만4,02,남해,128.6877777778,35.1461111111,일반,일반020604
420,020709,마산만9,02,남해,128.5716666667,35.1919444444,일반,일반020709
421,020902,거제도동안2,02,남해,128.6797222222,34.7986111111,일반,일반020902
422,023201,도암만1,02,남해,126.8647222222,34.4277777778,일반,일반023201
423,031602,시화호2,03,서해,126.6672222222,37.3008333333,일반,일반031602
424,023610,낙동강하구10,02,남해,128.9197222222,35.0447222222,일반,일반023610
